3.08104	-0.110028	0	0	0.110028	3.08104	-0.0431	3.2476	-0.1564	0.9877
3.93016	4.96704	0	0	-0.183412	3.7322	-0.2717	4.0121	-0.3971	0.9178
-0.550358	7.74571	0	0	-0.904709	4.80243	-0.6833	4.6957	-0.6129	0.7902
-1.79179	6.73037	0	0	-1.46177	5.81189	-1.2519	5.2554	-0.7902	0.6129
-2.29198	6.67904	0	0	-2.25156	6.49067	-1.9418	5.6562	-0.9178	0.3971
-2.54899	6.43218	0	0	-2.43819	6.1257	-2.7098	5.8728	-0.9877	0.1564
-3.98189	6.09955	0	0	-4.07508	6.0508	-3.5075	5.8916	-0.9956	-0.0941
-4.32792	5.69894	0	0	-4.14541	5.43152	-4.2848	5.7114	-0.9409	-0.3387
-5.15922	5.4391	0	0	-5.28228	5.47699	-4.9928	5.3436	-0.8271	-0.5621
-5.61505	5.04654	0	0	-5.60325	5.00127	-5.5872	4.8112	-0.6613	-0.7501
-5.98961	4.19374	0	0	-5.87108	4.10859	-6.0305	4.1478	-0.454	-0.891
-6.29855	3.54982	0	0	-6.27014	3.51708	-6.2949	3.395	-0.2182	-0.9759
-6.59428	2.22458	0	0	-6.47016	2.19952	-6.3637	2.6	0.0314	-0.9995
-6.11559	1.6636	0	0	-5.97177	1.6514	-6.2327	1.813	0.279	-0.9603
-6.16934	0.93661	0	0	-6.24775	0.94357	-5.9101	1.0832	0.509	-0.8608
-5.54027	0.610798	0	0	-5.08949	0.583207	-5.4161	0.4566	0.7071	-0.7071
-5.12052	0.10913	0	0	-4.94604	0.135591	-4.7818	-0.0275	0.8607	-0.5091
-4.23187	-0.425648	0	0	-3.92326	-0.317662	-4.0471	-0.3386	0.9603	-0.279
-3.49836	-0.598789	0	0	-3.12918	-0.50143	-3.258	-0.4572	0.9995	-0.0314
-2.69612	-0.44465	0	0	-2.41333	-0.402083	-2.4643	-0.3759	0.9759	0.2181
-1.82375	-0.213212	0	0	-1.43265	-0.190059	-1.7157	-0.0998	0.891	0.454
-1.80722	0.597675	0	0	-1.51435	0.505527	-1.0593	0.3539	0.7501	0.6613
-1.36057	1.84703	0	0	-0.769563	1.24789	-0.5364	0.9565	0.5621	0.8271
-0.246306	2.3863	0	0	-0.1437	1.40527	-0.1797	1.6703	0.3388	0.9409
0.029675	2.61196	0	0	0.0546848	2.5085	-0.0118	2.4503	0.0941	0.9956
0.106185	3.34395	0	0	0.127632	3.3932	0.0274	3.2487	0.1254	0.9921
0.122834	3.92474	0	0	0.123873	3.96947	0.2319	4.02	0.3682	0.9298
0.602588	4.24201	0	0	0.658637	4.29408	0.6218	4.7162	0.5878	0.809
0.962763	4.8567	0	0	1.09449	5.27199	1.1726	5.2935	0.7705	0.6374
1.52333	5.32402	0	0	1.71521	5.76047	1.8496	5.7157	0.9048	0.4258
2.10733	5.73544	0	0	2.2648	6.00608	2.6104	5.9563	0.9823	0.1874
3.04061	5.69799	0	0	3.08522	5.63544	3.4071	6.0002	0.998	-0.0628
3.89936	5.72521	0	0	4.01496	5.76912	4.1896	5.8445	0.951	-0.309
4.92968	5.13362	0	0	4.82374	4.9291	4.9089	5.4991	0.8443	-0.5358
5.80815	4.84088	0	0	5.9415	4.85004	5.5197	4.9857	0.6845	-0.729
6.36254	4.43294	0	0	6.38951	4.40044	5.9836	4.3365	0.4817	-0.8763
6.0844	3.88828	0	0	5.97202	3.82956	6.2715	3.5924	0.2487	-0.9686
6.55252	3.25752	0	0	6.5778	3.23034	6.3653	2.8	0	-1
6.23441	2.07736	0	0	5.80211	2.00814	6.2591	2.0092	-0.2487	-0.9686
6.13949	1.21081	0	0	6.10865	1.22621	5.9595	1.2696	-0.4818	-0.8763
5.38487	0.365309	0	0	4.76346	0.402034	5.4855	0.6278	-0.6846	-0.729
5.04038	0.246673	0	0	4.9775	0.248583	4.8667	0.1241	-0.8443	-0.5358
4.43427	-0.590879	0	0	4.23582	-0.481553	4.1421	-0.21	-0.9511	-0.309
3.87596	-0.430854	0	0	3.79189	-0.431853	3.3572	-0.3533	-0.998	-0.0628
2.97674	-0.329244	0	0	2.48492	-0.275959	2.5612	-0.297	-0.9823	0.1874
2.33589	-0.0197332	0	0	1.87861	-0.0576916	1.8043	-0.0445	-0.9048	0.4258
1.80107	0.859868	0	0	1.27498	0.490853	1.134	0.3884	-0.7705	0.6374
1.11448	1.85347	0	0	0.760141	1.30934	0.5924	0.9743	-0.5878	0.809
0.38276	2.24837	0	0	0.27899	1.77622	0.2135	1.6765	-0.3681	0.9298
0.0266917	2.56545	0	0	-0.0197841	2.12641	0.0212	2.4509	-0.1253	0.9921
